id,dataset,p,q,P,Q,s,ar,ma,sar,sma,r_loglik,py_loglik
121,ma1_shared,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-165.135443841508,-165.13544384064653
122,ma1_shared,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-128.129320485461,-128.12932048524453
123,ma1_shared,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-135.183764541502,-135.1837645249413
124,ma1_shared,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-144.221829823835,-144.22182982385036
125,ma1_shared,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-134.344351343645,-134.34435134585976
126,ma1_shared,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-135.568169173479,-135.56816917264817
127,ma1_shared,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-131.603037419408,-131.6030374126396
128,ma1_shared,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-134.115862644287,-134.11586264454024
129,ma1_shared,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-137.699428420438,-137.69942842768194
130,nile,1,0,0,0,0,[0.3],[],[],[],-791.683631707487,-791.6836317074869
131,nile,1,0,0,0,0,[0.5],[],[],[],-760.776281494898,-760.7762814948977
132,nile,1,0,0,0,0,[0.7],[],[],[],-718.772002458561,-718.7720024585614
133,nile,1,0,0,0,0,[-0.3],[],[],[],-851.671448594421,-851.6714485944212
134,nile,1,0,0,0,0,[-0.5],[],[],[],-865.899329489893,-865.8993294898934
135,nile,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-741.43048994832,-741.4304899483194
136,nile,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-741.886333689151,-741.8863336891503
137,nile,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-777.405475064529,-777.4054750645284
138,nile,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-836.031675066214,-836.0316750662139
139,nile,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-720.138329375222,-720.1383293752218
140,nile,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-777.530638608879,-777.5306386088787
141,nile,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-804.247594827887,-804.2475948278866
142,nile,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-791.566088720108,-791.5660887201075
143,nile,0,1,0,0,0,[],[0.2],[],[],-808.246177358681,-808.246177361179
144,nile,0,1,0,0,0,[],[0.4],[],[],-793.585136663973,-793.5851366698411
145,nile,0,1,0,0,0,[],[0.6],[],[],-781.484144304727,-781.4841443129908
146,nile,0,1,0,0,0,[],[-0.3],[],[],-860.78359759071,-860.7835975896244
147,nile,0,1,0,0,0,[],[-0.5],[],[],-893.699855481572,-893.6998554683814
148,nile,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-781.085840924872,-781.0858409258603
149,nile,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-825.873705095337,-825.8737051060355
150,nile,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-848.165016293284,-848.1650163014788
151,nile,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-793.856296573006,-793.8562965800174
152,nile,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-787.23516896062,-787.2351689708681
153,nile,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-801.303438935602,-801.3034389463228
154,nile,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-826.653504495363,-826.6535045011135
155,nile,1,1,0,0,0,[0.3],[0.2],[],[],-774.736290402849,-774.7362904034135
156,nile,1,1,0,0,0,[0.5],[0.4],[],[],-733.960487673442,-733.9604876758817
157,nile,1,1,0,0,0,[0.7],[0.6],[],[],-704.980691877796,-704.9806918745569
158,nile,1,1,0,0,0,[-0.3],[-0.3],[],[],-886.794580191143,-886.7945801873649
159,nile,1,1,0,0,0,[-0.5],[-0.5],[],[],-934.185196507686,-934.1851964991639
160,nile,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-726.889313433142,-726.8893134350918
161,nile,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-715.152581012526,-715.1525810150741
162,nile,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-743.977281291781,-743.9772812950258
163,nile,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-870.991136543869,-870.9911365335822
164,nile,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-780.771903628901,-780.7719036206389
165,nile,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-749.46322985705,-749.4632298596487
166,nile,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-762.76497651123,-762.764976516679
167,nile,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-736.389689460413,-736.3896894671647
168,nile,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-818.683441890042,-818.6834418979693
169,nile,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-707.817130372609,-707.817130375496
170,nile,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-742.220051297272,-742.2200513074097
171,nile,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-798.206507660569,-798.206507663931
172,nile,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-802.862303366921,-802.8623033782429
173,sunspots,1,0,0,0,0,[0.3],[],[],[],-1626.43917438116,-1626.4391743811611
174,sunspots,1,0,0,0,0,[0.5],[],[],[],-1547.92889441375,-1547.9288944137465
175,sunspots,1,0,0,0,0,[0.7],[],[],[],-1465.79031811155,-1465.7903181115535
176,sunspots,1,0,0,0,0,[-0.3],[],[],[],-1801.18006834127,-1801.1800683412653
177,sunspots,1,0,0,0,0,[-0.5],[],[],[],-1844.50305863162,-1844.5030586316163
178,sunspots,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-1519.42157934828,-1519.421579348279
179,sunspots,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-1547.28640723055,-1547.28640723055
180,sunspots,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-1572.35351771848,-1572.3535177184763
181,sunspots,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-1764.76292104963,-1764.7629210496339
182,sunspots,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-1547.78621594785,-1547.7862159478482
183,sunspots,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-1588.02755775491,-1588.0275577549135
184,sunspots,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-1639.94649121357,-1639.9464912135745
185,sunspots,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-1596.22632640845,-1596.2263264084522
186,sunspots,0,1,0,0,0,[],[0.2],[],[],-1671.15862896695,-1671.1586289741253
187,sunspots,0,1,0,0,0,[],[0.4],[],[],-1626.34897686327,-1626.3489768815284
188,sunspots,0,1,0,0,0,[],[0.6],[],[],-1588.50455306391,-1588.5045530926593
189,sunspots,0,1,0,0,0,[],[-0.3],[],[],-1824.50322467313,-1824.5032246692574
190,sunspots,0,1,0,0,0,[],[-0.5],[],[],-1916.2299131973,-1916.2299131491707
191,sunspots,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-1592.84047083809,-1592.8404708365704
192,sunspots,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-1713.11929279948,-1713.1192928417677
193,sunspots,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-1799.45618830333,-1799.4561883273168
194,sunspots,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-1624.17669319857,-1624.176693224053
195,sunspots,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-1605.52786488996,-1605.5278649275806
196,sunspots,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-1658.23464334182,-1658.234643400762
197,sunspots,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-1747.53720384421,-1747.5372038516002
198,sunspots,1,1,0,0,0,[0.3],[0.2],[],[],-1575.74537785877,-1575.7453778602724
199,sunspots,1,1,0,0,0,[0.5],[0.4],[],[],-1463.49922124891,-1463.4992212567495
200,sunspots,1,1,0,0,0,[0.7],[0.6],[],[],-1386.59231315267,-1386.592313149877
201,sunspots,1,1,0,0,0,[-0.3],[-0.3],[],[],-1902.77733606679,-1902.7773360536453
202,sunspots,1,1,0,0,0,[-0.5],[-0.5],[],[],-2039.22377271253,-2039.2237726813432
203,sunspots,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-1474.4281286223,-1474.4281286272915
